id,destination_city_name,destination_city_id,source_city_name,source_city_id,parcel_type,route_direction
1,Chihallisari,4015,Magadhgarh,1677,0,1
2,Chiporekota,4503,Chinagarbasti,3906,1,1
3,Raluruhat,648,Chibastiluru,4795,1,1
4,Vipurakota,4937,Chiabadpur,3938,0,2
5,Ravalibari,262,Ragudaguda,801,1,2
6,Chijhardih,4742,Katimala,2629,1,2
7,Raporenagar,653,Mabastipura,1896,1,0
8,Chigirigaon,4384,Ramuripara,294,0,1
9,Kapurakheda,2066,Magaonjhar,1362,0,2
10,Viabadpet,4905,Baluruhalli,3509,0,0
11,Kakhedagarh,2514,Babarinagar,3288,1,2
12,Batolamala,3714,Bapetgiri,3087,0,1
13,Rawadipur,342,Batigadh,3589,0,2
14,Chiwadikheda,4205,Chihallipur,4000,1,2
15,Kasaripur,2388,Chitibasti,4557,1,0
16,Kagarhmuri,1994,Maabadguda,1080,1,1
17,Chigarhti,3929,Matigiri,1661,1,1
18,Kapuragadh,2070,Rahatbari,851,0,0
19,Bapallisari,3457,Kakudigiri,2250,0,1
20,Ratigarh,685,Mabastigaon,1904,0,2
21,Chidihtola,4770,Kamalagiri,2684,0,1
22,Mamurithana,1257,Matihalli,1649,0,1
23,Kakudipura,2237,Chidihgaon,4756,1,2
24,Viabadpura,4903,Maparanagar,1397,0,1
25,Mathanavali,1466,Chigadhmuri,4567,0,1
26,Kanagarhat,1981,Mamalagadh,1729,0,0
27,Vipuramuri,4939,Ramalaguda,770,1,1
28,Matigaon,1656,Mabaripet,1371,1,1
29,Mahatpalli,1817,Chithanakheda,4360,1,1
30,Bawadithana,3241,Ragaonmuri,382,1,2
31,Bathanapet,3386,Chikudinagar,4156,0,0
32,Kakotatola,2166,Chigudaabad,4623,0,1
33,Banagargadh,2938,Chibaribasti,4278,1,0
34,Bagirikudi,3421,Chiwadigaon,4198,1,2
35,Chikotagarh,4064,Babarikheda,3306,1,0
36,Ragarhpore,84,Chipurhalli,3850,0,0
37,Chiparapur,4279,Chipurakheda,3988,1,0
38,Chijharpalli,4731,Bagadhvali,3605,1,1
39,Magudahalli,1742,Kaabadkota,2023,0,0
40,Makotawadi,1190,Bagaongarh,3258,1,2
41,Rakotamala,242,Bagadhgaon,3609,0,1
42,Batibari,3579,Babariwadi,3298,1,0
43,Chipurpara,3859,Vipuragiri,4947,0,1
44,Viabadbari,4912,Mapurgiri,979,0,2
45,Maabadnagar,1056,Chivalidih,4122,0,2
46,Baabadbari,2990,Bagaonbasti,3286,1,1
47,Majharsari,1845,Bakudigarh,3196,1,2
48,Chilurudih,4494,Raabadluru,114,1,1
49,Kapurbari,1936,Kahalliguda,2103,0,2
50,Managarmuri,1002,Bakudimala,3218,0,1
51,Kaluruguda,2568,Chijharpalli,4731,1,2
52,Kapetpore,2130,Chihattola,4708,0,2
53,Malurunagar,1583,Makotagarh,1181,1,2
54,Rakudipura,315,Chimalapur,4589,0,1
55,Mapetdih,1177,Bapetgadh,3093,0,2
56,Bapalligaon,3454,Ragiriti,550,0,2
57,Chitipur,4527,Chiwaditola,4212,1,0
58,Kakudisari,2248,Mahalligarh,1119,0,1
59,Kagarhgaon,1997,Bapurgadh,2907,1,2
60,Vipurjhar,4834,Chihalliabad,4003,1,2
61,Chikudigadh,4178,Vinagarhat,4864,1,1
62,Kapurgiri,1940,Kaparati,2379,0,2
63,Chimalabasti,4619,Bagaondih,3285,0,0
64,Rahatgaon,850,Chipallithana,4419,1,1
65,Ragarhabad,66,Kanagarkudi,1964,1,2
66,Makotakudi,1189,Bajharpara,3766,1,1
67,Chitolagiri,4668,Vipuraluru,4950,1,1
68,Kasarikota,2395,Vinagartola,4863,0,2
69,Bathanaabad,3383,Kagudawadi,2709,0,1
70,Kagiritola,2476,Mabarinagar,1366,0,2
71,Bavalipalli,3150,Chipalliabad,4406,0,0
72,Bapurabari,3021,Magiripore,1510,1,1
73,Bagarhnagar,2947,Kavalipur,2171,0,0
74,Chidihsari,4759,Vipetpet,4998,1,2
75,Rakudikudi,321,Managarjhar,1021,0,1
76,Kapalliguda,2506,Ragiripura,532,1,1
77,Ragadhsari,729,Chihallipara,4014,0,2
78,Chititi,4549,Kasarimala,2412,1,0
79,Raluruabad,624,Kapalliluru,2501,1,2
80,Raparavali,443,Chijhargiri,4730,0,1
81,Mathanati,1480,Vipurahalli,4935,0,0
82,Mapurkudi,972,Kahallinagar,2079,1,1
83,Rakotaluru,238,Chithanaabad,4344,1,0
84,Chihallisari,4015,Bakudipara,3208,1,0
85,Rakudipura,315,Rakudidih,340,0,2
86,Kawadiguda,2289,Rahallihalli,161,1,2
87,Kanagarpura,1958,Chivalimala,4117,1,2
88,Bagaonjhar,3284,Katipet,2611,0,2
89,Katolagiri,2746,Bapallisari,3457,0,1
90,Viabadgarh,4901,Maabadmuri,1064,1,1
91,Mapetgarh,1150,Vipurkheda,4825,1,0
92,Chijharjhar,4741,Bamalamuri,3637,0,1
93,Mapurapalli,1104,Masaripur,1427,1,2
94,Rapethalli,192,Chithanapara,4355,0,2
95,Chisarigarh,4312,Ragarhhalli,68,1,1
96,Maparapore,1417,Baabadpet,2983,0,2
97,Bawadipet,3231,Chiparaluru,4299,1,2
98,Kapurathana,2063,Bapurajhar,3036,0,1
99,Chiabadbasti,3968,Kagirivali,2458,0,1
100,Raporekota,659,Mapetmuri,1157,0,1
101,Ragadhsari,729,Rabariti,426,1,0
102,Maporegaon,1625,Ragarhsari,78,0,0
103,Kawadinagar,2265,Kagudati,2720,1,0
104,Chiabadkota,3945,Chigarhnagar,3908,1,1
105,Rakudigaon,323,Rabarigaon,416,0,0
106,Viabadhalli,4904,Makotagaon,1191,0,0
107,Bagirihalli,3416,Kadihpura,2826,1,1
108,Chipallipur,4403,Chipuramuri,3978,0,0
109,Ralurupalli,639,Kagaonabad,2298,1,2
110,Rapurpara,15,Mamalapara,1720,1,2
111,Ragaonpalli,391,Rabastigaon,943,0,0
112,Bamalapura,3632,Chibarikota,4255,1,0
113,Chigudabari,4633,Basarithana,3365,0,1
114,Rabastisari,946,Kamuripura,2206,0,0
115,Magadhvali,1683,Kabastisari,2868,0,0
116,Mapallijhar,1548,Ragiriguda,553,1,0
117,Maparabari,1409,Chibastivali,4783,0,2
118,Maabadkheda,1074,Chigudapalli,4638,0,1
119,Bagudapet,3665,Kahalligadh,2101,1,2
120,Bawaditola,3251,Magarhpet,1030,0,1
121,Badihgarh,3785,Katolaluru,2749,1,2
122,Kakudihalli,2238,Vipurpore,4827,1,1
123,Rabastipura,935,Chinagarkota,3883,0,0
124,Kanagarsari,1969,Masaripur,1427,0,1
125,Rasariluru,486,Mawadipet,1309,1,0
126,Ragadhgarh,716,Vipurpore,4827,0,1
127,Ravalibari,262,Rakudigadh,334,1,0
